n	x	y
1	334500	5006900
2	392100	5005900
3	316700	5006800
4	383700	5008900
5	361900	5005900
6	359700	5003800
7	365600	5003000
8	353300	5005100
9	356900	5003700
10	359600	5011900
11	329200	5011400
12	338400	5013700
13	333100	5012000
14	337200	5012000
15	326900	5011200
16	353900	5011900
17	344800	5011100
18	359400	5010600
19	356500	5011300
20	362000	5010600
21	360900	5011500
22	390700	5008100
23	342500	5008100
24	343500	5008300
25	317600	5008300
26	327400	5023500
27	338700	5023100
28	335600	5026500
29	327000	5024800
30	334500	5021900
31	329200	5021300
32	346500	5023900
33	341100	5023500
34	347600	5020500
35	357900	5020700
36	357000	5021000
37	331200	5022300
38	343900	5019800
39	344700	5015300
40	348600	5020200
41	361000	5020600
42	336400	5032300
43	329500	5031500
44	328700	5033400
45	334200	5032700
46	332962	5030865
47	334900	5030600
48	334300	5030800
49	336400	5030300
50	480200	5027100
51	332400	5026200
52	329000	5029100
53	478100	5028800
54	331300	5025900
55	341700	5025900
56	340100	5027700
57	345000	5026100
58	409100	5164500
59	441500	5164400
60	554500	5189500
61	430700	5165900
62	440700	5132700
63	558900	5107800
64	430600	5162900
65	441900	5134100
66	402000	4947300
67	401200	4946400
68	398200	4948500
69	404600	4946900
70	421900	4942300
71	422100	4940800
72	581000	4944400
73	419800	4943500
74	432900	4928300
75	431800	4926300
76	427200	4932200
77	429600	4929300
78	447800	4916800
79	446000	4916000
80	448600	4922600
81	447800	4922600
82	478800	4955100
83	387900	4955300
84	387100	4957500
85	479300	4955300
86	389180	4951680
87	398500	4950700
88	390000	4954300
89	390000	4952200
90	387000	4950300
91	398000	4949900
92	391600	4950600
93	399700	4950600
94	400700	4949400
95	399700	4948600
96	391800	4949600
97	402300	4948600
98	382600	4966200
99	374100	4965800
100	377100	4967000
101	376200	4966400
102	369900	4965600
103	377500	4965700
104	372800	4966200
105	378500	4965400
106	372000	4964500
107	373000	4964100
108	371900	4965000
109	373300	4964900
110	449200	4963500
111	448100	4963500
112	371200	4964100
113	449500	4964000
114	383500	4968800
115	387900	4968700
116	384100	4968900
117	383100	4968900
118	413000	4968800
119	374900	4968400
120	385000	4969700
121	378600	4968500
122	378600	4967600
123	372604	4967448
124	384300	4968100
125	370950	4967655
126	371800	4967400
127	389000	4966600
128	374800	4967600
129	377900	4967300
130	381300	4972000
131	386300	4971200
132	383192	4971915
133	382100	4971900
134	410500	4970500
135	412500	4970400
136	385500	4971100
137	415400	4971300
138	369800	4969900
139	409900	4969600
140	375200	4970600
141	389700	4969900
142	386100	4969000
143	391300	4970200
144	388200	4969400
145	378700	4969400
146	370800	4976500
147	409300	4976200
148	407400	4976900
149	408100	4976400
150	376000	4975200
151	376700	4974600
152	388900	4976000
153	374500	4975500
154	375500	4974300
155	378400	4973100
156	377800	4974100
157	378700	4973800
158	411200	4972100
159	389048	4971750
160	370500	4972600
161	380400	4972300
162	398700	4983300
163	398900	4982300
164	401500	4984100
165	407000	4985200
166	378300	4981400
167	400200	4981100
168	403900	4982700
169	400400	4981800
170	372300	4979500
171	403300	4979200
172	388700	4981200
173	413700	4980900
174	374200	4978600
175	408900	4977100
176	372600	4978600
177	399300	4978100
178	380600	4992600
179	376000	4992200
180	391700	4996100
181	391100	4994400
182	366300	4992800
183	389400	4988200
184	377500	4992300
185	386700	4991300
186	367100	4986700
187	384500	4985800
188	386200	4989400
189	391559	4987866
190	384400	4985100
191	382900	4984500
192	400800	4985800
193	366800	4985200
194	347800	5007100
195	647500	5001400
196	360500	5003000
197	331400	5005300
198	646100	5000700
199	646300	4999900
200	335900	5001400
201	330500	5001100
202	323000	5000300
203	375300	4998500
204	373900	4999500
205	333400	4999300
206	367100	4996800
207	365400	4996300
208	374400	4998000
209	368000	4997700
210	335400	5007400
211	365000	5006700
212	335000	5007800
213	363100	5007500
214	386300	5006800
215	340200	5007300
216	361100	5006900
