y;x
36.8929497263;45.1961480793
37.6262282182;45.1983240531
36.6665466151;45.1908444708
37.518614045;45.2239834983
37.2418866752;45.1930530682
37.2144835171;45.173724332
37.2897505904;45.1676752363
37.1326944926;45.1841181228
37.1788961085;45.1722620788
37.2109274867;45.2465817914
36.8239772695;45.2353615241
36.9403608883;45.2582242068
36.8734278133;45.2416943561
36.9256335495;45.2426548856
36.7947661094;45.2330006565
37.1383319423;45.2454211754
37.0226929357;45.2362757418
37.2087478794;45.2348455677
37.1716183718;45.2405581291
37.2418562281;45.2353601838
37.2275969285;45.2432411442
37.6079258916;45.2179059473
36.9943574895;45.2087766422
37.0070211138;45.2107987371
36.6774452931;45.2045692276
36.7968502905;45.3437597068
36.94112255;45.3428520892
36.9004484841;45.3727162029
36.7912933465;45.355354213
36.8879502425;45.3310790671
36.8205690901;45.3244117483
37.0403754806;45.351799927
36.9716088178;45.3469983636
37.0554577846;45.3214528689
37.1867543159;45.3254137718
37.1751891488;45.327929961
36.8457300158;45.3338907787
37.008496777;45.3143423587
37.0201066304;45.2740374878
37.0683016831;45.3189704541
37.2263202269;45.3251350959
36.908733871;45.4250762213
36.8208723908;45.4162319894
36.8099942292;45.4331263946
36.8804962304;45.4281560463
36.865303632;45.4113555285
36.8901425024;45.4094318863
36.8824129425;45.4110890565
36.9093981087;45.4070856903
38.747026053;45.3971374558
36.8597115243;45.3692593639
36.8153193086;45.3945225757
38.7201202386;45.4123768865
36.8457767146;45.366296853
36.9784942212;45.3687238983
36.9574919657;45.3845526261
37.0205471957;45.3712609995
37.8125636161;46.6278992171
38.2357719;46.6306091834
39.7149573264;46.8568078701
38.0944750604;46.6430771682
38.2293612685;46.3452784168
39.7623318416;46.1212338856
38.0936193176;46.6160721575
38.2447810685;46.3579810548
37.7636134858;44.6723758152
37.7536965243;44.6641658292
37.715445126;44.682647012
37.7964827793;44.6691259989
38.0153957472;44.6298119854
38.0181443939;44.6163318943
40.0214904025;44.6483932082
37.9887375783;44.6403820149
38.1558808266;44.5049004631
38.1423082958;44.4867939302
38.0836333127;44.5394540103
38.1142352602;44.51358775
38.3444682867;44.4026066424
38.3219484735;44.3952728833
38.353939194;44.4548769555
38.3438844238;44.4548196379
38.7321835288;44.7489731855
37.5840214183;44.7423089268
37.5734323459;44.7619821631
38.7384917701;44.7507882686
37.6009703892;44.7099294122
37.7187931592;44.702489875
37.6107550287;44.7336350008
37.6112073662;44.7147356017
37.5737627769;44.6971695545
37.7126429594;44.6952188031
37.6317415298;44.7005797271
37.733956339;44.7017587613
37.7468088832;44.6910976782
37.7343485124;44.6837583359
37.6344768411;44.6916100935
37.767149349;44.6841171768
37.5145825028;44.8395510348
37.4071745582;44.8345023184
37.4448244224;44.8458239301
37.4335864206;44.8402690171
37.3541109978;44.8319492843
37.4501978846;44.8341941895
37.3906338297;44.8378712323
37.4629165422;44.8316654673
37.3809444982;44.8224305574
37.3936883569;44.8190096849
37.3795540414;44.8269119204
37.3972818145;44.8262619281
38.3574293684;44.8230985041
38.3435163402;44.823019373
37.3709308642;44.818687248
38.3611741315;44.8276206126
37.5253690117;44.8630964207
37.5810679339;44.8629019614
37.5329383225;44.8640941388
37.5202845282;44.8639308544
37.8986927899;44.8673073369
37.4166509338;44.8580397067
37.544145325;44.8714392771
37.4634395761;44.8595791695
37.4636549908;44.8514801471
37.387841708;44.8490665252
37.5356516331;44.8569272654
37.366866624;44.8506318736
37.3776835193;44.8484905373
37.5954467755;44.8441752438
37.4155832111;44.8508231872
37.4548717376;44.8486609823
37.4967816513;44.8915303697
37.5602609325;44.8851467739
37.520753527;44.8910782737
37.506932699;44.8907633523
37.8667518375;44.8822984146
37.8920883075;44.8816468352
37.5501566827;44.8841187111
37.9286507763;44.8900976057
37.351742881;44.870624314
37.8593162166;44.8741224818
37.4199048252;44.877889437
37.603583899;44.8739820857
37.5582237644;44.8653164315
37.6237699158;44.8769278
37.5847097115;44.8692486446
37.4644894938;44.8676952043
37.3627120023;44.9301957785
37.8505383557;44.9334481253
37.8263358818;44.9395033484
37.8352972179;44.9350940931
37.4289027069;44.9194231276
37.437914822;44.9141455534
37.5921194275;44.9287539299
37.4098302926;44.9218597059
37.4227916375;44.9112370333
37.4598048425;44.9009398487
37.451966408;44.9098359051
37.4634354664;44.90729021
37.8753328822;44.8967865995
37.5949266843;44.890529765
37.3599105065;44.8950475802
37.4853171284;44.8940794833
37.7148080029;44.9959151938
37.7175455166;44.9869440355
37.7501664515;45.0035092199
37.8197355276;45.0141515801
37.4565385646;44.9756124489
37.7342696597;44.9763283001
37.7808794996;44.9912385546
37.7366672197;44.9826562192
37.3809543393;44.9574619291
37.7739411645;44.9596574043
37.5884388971;44.975518859
37.9054862224;44.9762973822
37.4052584648;44.9497021901
37.8453077417;44.9414971706
37.3849835948;44.9494172033
37.7234570603;44.949201995
37.4830378513;45.0767886837
37.4247160612;45.0723982189
37.6232624105;45.1100717419
37.6160070234;45.0946810242
37.3013805199;45.0760310468
37.5957754134;45.0386227057
37.4437404017;45.073559286
37.560806124;45.0660930217
37.3131543583;45.0212943131
37.5341343499;45.0162434883
37.5548877117;45.0489147801
37.6232510815;45.0359506673
37.5330264781;45.0099279278
37.5141373471;45.0042825354
37.740951313;45.0187112271
37.3097454326;45.0077410468
37.0621151175;45.2009452413
40.8763894276;45.1506629606
37.2248834032;45.1666851556
36.8540509727;45.1810208338
40.8583843465;45.1446562584
40.8606927832;45.1374172833
36.9125706906;45.1469992776
36.8440299074;45.1430248829
36.7489885604;45.1339889229
37.4142578884;45.1289646341
37.3962095546;45.1377142781
36.8814910812;45.1275231094
37.3104786398;45.1121731814
37.2890110606;45.107352613
37.4029430995;45.1243060642
37.3216777263;45.1204399284
36.9042351153;45.2008566381
37.2811171476;45.2008517161
36.8990130654;45.2043613088
37.2567167286;45.2076830748
37.552200821;45.205510918
36.9653438102;45.2010619361
37.2314281681;45.2018931839
